,m,n,k,emb_type,best_C,train_acc,test_acc
41,1,4,6,cbow,77.42636826811278,0.8079251513483764,0.8217821782178217
42,1,4,7,svd,21.54434690031885,0.7688497523390203,0.7772277227722773
43,1,4,7,skipgram,21.54434690031885,0.7908640616400661,0.8217821782178217
44,1,4,7,cbow,21.54434690031885,0.8095762245459549,0.7871287128712872
45,1,4,8,svd,21.54434690031885,0.7660979636763896,0.7574257425742574
46,1,4,8,skipgram,1000.0,0.7914144193725922,0.8514851485148515
47,1,4,8,cbow,5.994842503189409,0.810126582278481,0.7920792079207921
48,1,4,9,svd,77.42636826811278,0.7451843698403963,0.7623762376237624
49,1,4,9,skipgram,21.54434690031885,0.7886626307099615,0.8366336633663366
50,1,4,9,cbow,1000.0,0.810126582278481,0.7970297029702971
51,1,4,10,svd,1000.0,0.7550908090258668,0.7574257425742574
52,1,4,10,skipgram,21.54434690031885,0.7908640616400661,0.8316831683168316
53,1,4,10,cbow,77.42636826811278,0.813979086406164,0.8168316831683168
54,1,5,5,svd,21.54434690031885,0.6967528893780958,0.6782178217821783
55,1,5,5,skipgram,278.2559402207126,0.7044578976334618,0.7524752475247525
56,1,5,5,cbow,0.1291549665014884,0.7528893780957623,0.7772277227722773
57,1,5,6,svd,77.42636826811278,0.6873968079251513,0.6831683168316832
58,1,5,6,skipgram,278.2559402207126,0.7006053935057788,0.7178217821782178
59,1,5,6,cbow,0.464158883361278,0.7534397358282884,0.7722772277227723
60,1,5,7,svd,21.54434690031885,0.6670335718216841,0.6534653465346535
61,1,5,7,skipgram,278.2559402207126,0.7000550357732526,0.7277227722772277
62,1,5,7,cbow,0.1291549665014884,0.7545404512933407,0.7673267326732673
63,1,5,8,svd,77.42636826811278,0.6598789212988443,0.6633663366336634
64,1,5,8,skipgram,77.42636826811278,0.6890478811227297,0.693069306930693
65,1,5,8,cbow,0.1291549665014884,0.7512383048981838,0.7524752475247525
66,1,5,9,svd,21.54434690031885,0.6697853604843148,0.6633663366336634
67,1,5,9,skipgram,278.2559402207126,0.6917996697853604,0.693069306930693
68,1,5,9,cbow,0.1291549665014884,0.7561915244909191,0.7772277227722773
69,1,5,10,svd,1.6681005372000592,0.6686846450192625,0.6831683168316832
70,1,5,10,skipgram,1000.0,0.6879471656576774,0.698019801980198
71,1,5,10,cbow,0.464158883361278,0.755641166758393,0.7722772277227723
72,1,6,5,svd,0.1291549665014884,0.7160154100165107,0.693069306930693
73,1,6,5,skipgram,21.54434690031885,0.6774903687396808,0.6881188118811881
74,1,6,5,cbow,1.6681005372000592,0.7776554760594386,0.7920792079207921
75,1,6,6,svd,1.6681005372000592,0.7050082553659879,0.6683168316831684
76,1,6,6,skipgram,1000.0,0.6840946615299945,0.6683168316831684
