emb_type,m,n,k,cohesion-lit-gpt-p-val,cohesion-lit-bot-p-val,separation-lit-gpt-p-val,separation-lit-bot-p-val,RS-lit-gpt-p-val,RS-lit-bot-p-val,RMSSTD-lit-gpt-p-val,RMSSTD-lit-bot-p-val
svd,1,9,9,1.0187576238287004e-138,0.0,1.2027540849604444e-150,0.0,3.6718550342008324e-54,1.897636574608362e-12,6.742471541968356e-139,0.0
svd,1,9,10,4.858442664370073e-138,0.0,1.3974646008716217e-150,0.0,2.0709860339129527e-54,1.6359301361909837e-26,2.941611068550793e-138,0.0
svd,1,10,5,1.6657341509595755e-144,0.0,4.2570263013097094e-148,0.0,3.024633991122531e-44,0.0039313574231052,1.421274060389919e-144,0.0
svd,1,10,6,1.593313153825033e-142,0.0,9.857682524167534e-150,0.0,1.9010185477439363e-46,0.0095173387588565,1.3269830619749604e-142,0.0
svd,1,10,7,3.7980068970166e-141,0.0,1.666409426901297e-150,0.0,1.0551093250708658e-46,0.3714708007956456,2.9757356876776147e-141,0.0
svd,1,10,8,9.890644078692327e-140,0.0,3.0626303698485395e-151,0.0,1.3649613444637327e-48,0.4339892350807374,7.100748829659724e-140,0.0
svd,1,10,9,8.654019977866342e-139,0.0,2.6615885689752904e-151,0.0,2.950923618730788e-49,0.0016137364376935,6.2559193981718925e-139,0.0
svd,1,10,10,1.3726822023350757e-137,0.0,9.041786102181279e-152,0.0,1.0148739389164517e-50,2.209918191510965e-09,8.397922088420623e-138,0.0
svd,2,2,5,0.0006716053274195,0.0,3.396219209511053e-171,0.0,7.524478858070829e-134,0.0,0.0002232205968832,0.0
svd,2,2,6,0.3429717364716484,0.0,4.9642092839771665e-174,0.0,1.0124203031214269e-142,0.0,0.1950933707509119,0.0
svd,2,2,7,7.344156744268887e-17,0.0,4.511651194854624e-177,0.0,2.0026571411803881e-159,0.0,1.5183908329314512e-15,0.0
svd,2,2,8,5.331030145578394e-40,0.0,7.519324622167442e-180,0.0,1.4357541870497474e-174,0.0,7.071601196234157e-38,0.0
svd,2,2,9,3.3836674946649936e-32,0.0,3.7411153258208456e-179,0.0,3.3103393120224862e-171,0.0,7.028931990884597e-30,0.0
svd,2,2,10,2.809309157583297e-18,0.0,1.59291661289459e-178,0.0,8.568836350302653e-166,0.0,3.0350340439044504e-16,0.0
svd,2,3,5,1.70747869438142e-179,0.0,1.126704321659299e-149,0.0,3.43239075973353e-69,4.702853746866247e-265,3.683437306635996e-180,0.0
svd,2,3,6,2.107550587520512e-186,0.0,1.666409426901297e-150,0.0,1.9268674357255296e-82,3.162181197794585e-297,1.708696119224865e-187,0.0
svd,2,3,7,5.162631860725633e-125,0.0,1.1165787003915063e-148,0.0,4.57924191403484e-82,7.263226588300847e-291,1.6912391056981734e-126,0.0
svd,2,3,8,2.2142596039608354e-27,0.0,6.387378001899697e-152,0.0,4.365119620891963e-99,1.799698818081728e-293,2.5358404620134338e-28,0.0
svd,2,3,9,1.6093706283812618e-21,0.0,1.0296655610568837e-155,0.0,9.537889926537961e-110,3.749529282805193e-288,1.8654447415120499e-22,0.0
svd,2,3,10,1.1612085909785881e-20,0.0,2.311732940609492e-157,0.0,2.695102119577312e-114,1.7922018336799798e-275,8.843087286723632e-22,0.0
svd,2,4,5,6.5238042396979934e-164,0.0,2.211817236111309e-155,0.0,3.473442640988652e-63,2.1858800455773687e-168,3.782172827909637e-164,0.0
svd,2,4,6,2.8980885488596984e-168,0.0,1.1322093936966882e-151,0.0,1.6526060269867648e-59,2.387647181690377e-162,1.1249222929081474e-168,0.0
svd,2,4,7,4.6743868875494746e-172,0.0,2.1133713698179428e-151,0.0,6.890411588974346e-68,3.8521238870083946e-158,1.6058459431758847e-172,0.0
svd,2,4,8,2.5550185455914016e-175,0.0,2.034095019575045e-152,0.0,1.319413764786243e-80,3.0057040137164274e-176,6.819135127874869e-176,0.0
svd,2,4,9,3.752184710800384e-176,0.0,1.771352999043091e-151,0.0,3.26786214842525e-81,1.4504344932406983e-157,4.329333459442255e-177,0.0
svd,2,4,10,4.911078499467161e-174,0.0,4.186870464727384e-151,0.0,2.675591708774848e-83,3.8824736847731754e-154,2.4735572030384553e-175,0.0
svd,2,5,5,2.6883265195527162e-160,0.0,3.336439380339976e-159,0.0,1.4127539976399442e-66,4.125835437589516e-36,2.0259034155849593e-160,0.0
svd,2,5,6,1.0055299340988272e-160,0.0,1.0681272630932703e-158,0.0,6.618492211314109e-60,9.94702913297478e-122,6.718420222997904e-161,0.0
svd,2,5,7,3.354451090933413e-162,0.0,2.955125386315513e-156,0.0,1.1144483337507486e-60,1.2284670631288144e-124,1.693268834696571e-162,0.0
svd,2,5,8,3.845926069638999e-164,0.0,3.4026146081498288e-155,0.0,4.656894006046008e-64,4.773796073866881e-132,1.6700624488352232e-164,0.0
svd,2,5,9,3.7350514869178e-164,0.0,3.507874735054763e-155,0.0,1.225849343870317e-70,5.264832772256685e-141,1.4979251269225551e-164,0.0
svd,2,5,10,9.141032879410031e-165,0.0,3.882793923441954e-155,0.0,3.5648404144743433e-75,5.739764029352948e-150,3.017776486355459e-165,0.0
svd,2,6,5,5.861638281360957e-159,0.0,2.060169487666155e-161,0.0,6.153095518596312e-67,0.0002231118068424,4.733136134915483e-159,0.0
svd,2,6,6,2.2321691643743474e-158,0.0,2.3915578805257404e-161,0.0,6.414493849025396e-60,1.8528169362025047e-30,1.6440315824738236e-158,0.0
svd,2,6,7,3.4765909705969533e-159,0.0,9.539831817473563e-160,0.0,1.1791097045406633e-54,5.8834395908081785e-90,2.3807186440280893e-159,0.0
svd,2,6,8,2.8475600767439247e-159,0.0,1.4327445651709587e-158,0.0,2.7769851368603773e-58,1.762397008967985e-97,1.751782182527185e-159,0.0
svd,2,6,9,4.4499432843276837e-159,0.0,3.804990167465709e-158,0.0,7.189130942782185e-63,1.281374795406522e-108,2.2289488221771548e-159,0.0
svd,2,6,10,2.9439583999421496e-160,0.0,4.0232465932200254e-157,0.0,5.1321528799280255e-64,1.8227895242503624e-114,1.2992964377730448e-160,0.0
svd,2,7,5,2.1880318341109797e-159,0.0,1.3139837385255178e-161,0.0,3.9988168295992164e-62,0.5466075007178581,1.791916007975684e-159,0.0
svd,2,7,6,9.806486310150554e-158,0.0,1.316631866072162e-162,0.0,3.7472115497321514e-59,0.0007810824465954,7.256855450110256e-158,0.0
svd,2,7,7,9.984316052185295e-157,0.0,5.800027751966367e-163,0.0,4.083049208921694e-59,1.0792286717358628e-21,7.305580558268824e-157,0.0
svd,2,7,8,1.5291404110182105e-157,0.0,4.93613029224724e-161,0.0,6.37916834287827e-53,2.549426852483577e-56,1.0009376214690036e-157,0.0
