emb_type,m,n,best_C,train_acc,test_acc,train_f,test_f
SVD,4,6,0.0215443469003188,0.7856746252082176,0.7711442786069652,0.7752086912136066,0.7599970190370461
skipgram,4,6,599.4842503189421,0.7587616822429907,0.7329842931937173,0.7399592185873303,0.7129469178264232
cbow,4,6,599.4842503189421,0.7587616822429907,0.7329842931937173,0.7399592185873303,0.7129469178264232
SVD,4,7,0.0215443469003188,0.7840088839533592,0.7711442786069652,0.7732899131089142,0.7599970190370461
skipgram,4,7,46.41588833612782,0.7587616822429907,0.7277486910994765,0.7399592185873303,0.7064378743579125
cbow,4,7,46.41588833612782,0.7587616822429907,0.7277486910994765,0.7399592185873303,0.7064378743579125
SVD,4,8,0.0215443469003188,0.7823431426985008,0.7661691542288557,0.7713668891111006,0.7542225204438248
skipgram,4,8,46.41588833612782,0.7575934579439252,0.7277486910994765,0.738518831422948,0.7064378743579125
cbow,4,8,46.41588833612782,0.7575934579439252,0.7277486910994765,0.738518831422948,0.7064378743579125
SVD,5,2,46.41588833612782,0.983342587451416,0.9751243781094528,0.9833371931716729,0.9751243781094527
skipgram,5,2,599.4842503189421,0.905373831775701,0.9267015706806284,0.9042040722567127,0.9264354707722081
cbow,5,2,7742.636826811277,0.9421728971962616,0.9528795811518324,0.9417951232579126,0.9527864194373291
SVD,5,3,46.41588833612782,0.9022765130483064,0.9154228855721394,0.9013069600963273,0.9149942959767078
skipgram,5,3,599.4842503189421,0.8738317757009346,0.8638743455497382,0.8708721555117408,0.8614066504528878
cbow,5,3,599.4842503189421,0.8422897196261683,0.8115183246073299,0.836784307717265,0.8047822538393821
SVD,5,4,0.0215443469003188,0.8117712382009994,0.8059701492537313,0.8047476785073567,0.7994143183940154
skipgram,5,4,100000.0,0.8785046728971962,0.8534031413612565,0.8758804689029571,0.8503032525401867
cbow,5,4,100000.0,0.8714953271028038,0.8481675392670157,0.8684318972299809,0.8447138048323242
SVD,5,5,0.0215443469003188,0.7906718489727929,0.7761194029850746,0.7809399807560512,0.7657334574005056
skipgram,5,5,3.593813663804626,0.759929906542056,0.7329842931937173,0.7413968164443349,0.7129469178264232
cbow,5,5,3.593813663804626,0.7605140186915887,0.7329842931937173,0.7421145753771071,0.7129469178264232
SVD,5,6,0.0215443469003188,0.7851193781232648,0.7711442786069652,0.774569567605708,0.7599970190370461
skipgram,5,6,46.41588833612782,0.7587616822429907,0.7277486910994765,0.7399592185873303,0.7064378743579125
cbow,5,6,46.41588833612782,0.7587616822429907,0.7329842931937173,0.7399592185873303,0.7129469178264232
SVD,5,7,0.0215443469003188,0.7840088839533592,0.7661691542288557,0.7732899131089142,0.7542225204438248
skipgram,5,7,46.41588833612782,0.7587616822429907,0.7277486910994765,0.7399592185873303,0.7064378743579125
cbow,5,7,46.41588833612782,0.7587616822429907,0.7277486910994765,0.7399592185873303,0.7064378743579125
SVD,5,8,0.2782559402207126,0.7812326485285952,0.7562189054726368,0.7700824928239481,0.7425547422125045
skipgram,5,8,46.41588833612782,0.7575934579439252,0.7277486910994765,0.738518831422948,0.7064378743579125
cbow,5,8,46.41588833612782,0.7575934579439252,0.7277486910994765,0.738518831422948,0.7064378743579125
SVD,6,2,599.4842503189421,0.9894503053858968,0.9900497512437813,0.9894488219990145,0.9900512292961811
skipgram,6,2,599.4842503189421,0.9036214953271028,0.9214659685863874,0.9021949402559207,0.9210114516621252
cbow,6,2,599.4842503189421,0.90946261682243,0.9057591623036648,0.9082804887970793,0.9051353262200617
SVD,6,3,7742.636826811277,0.8917268184342032,0.9054726368159204,0.8904087223039217,0.9048472350348741
skipgram,6,3,7742.636826811277,0.8995327102803738,0.900523560209424,0.8979693475706256,0.8995826374998969
cbow,6,3,7742.636826811277,0.8732476635514018,0.8534031413612565,0.8702983553010295,0.8503032525401867
SVD,6,4,0.0215443469003188,0.8089950027762354,0.8009950248756219,0.8016494662438834,0.7938833502489594
skipgram,6,4,3.593813663804626,0.7675233644859814,0.743455497382199,0.750674526924999,0.7258005636502428
cbow,6,4,0.2782559402207126,0.7704439252336449,0.7486910994764397,0.7542128063259097,0.732148356724889
SVD,6,5,0.0215443469003188,0.7906718489727929,0.7711442786069652,0.7809399807560512,0.7599970190370461
skipgram,6,5,3.593813663804626,0.759929906542056,0.7329842931937173,0.7413968164443349,0.7129469178264232
cbow,6,5,3.593813663804626,0.759929906542056,0.7329842931937173,0.7413968164443349,0.7129469178264232
SVD,6,6,0.0215443469003188,0.7840088839533592,0.7711442786069652,0.7732899131089142,0.7599970190370461
skipgram,6,6,46.41588833612782,0.7587616822429907,0.7277486910994765,0.7399592185873303,0.7064378743579125
cbow,6,6,46.41588833612782,0.7587616822429907,0.7277486910994765,0.7399592185873303,0.7064378743579125
SVD,6,7,0.2782559402207126,0.7812326485285952,0.7562189054726368,0.7700824928239481,0.7425547422125045
skipgram,6,7,46.41588833612782,0.758177570093458,0.7277486910994765,0.7392393748708402,0.7064378743579125
cbow,6,7,46.41588833612782,0.758177570093458,0.7277486910994765,0.7392393748708402,0.7064378743579125
SVD,6,8,0.2782559402207126,0.7812326485285952,0.7562189054726368,0.7700824928239481,0.7425547422125045
skipgram,6,8,46.41588833612782,0.7575934579439252,0.7277486910994765,0.738518831422948,0.7064378743579125
