emb_type,m,n,best_C,train_acc,test_acc,train_f,test_f
cbow,2,5,0.2976351441631317,0.8729081863410222,0.8780487804878049,0.8738850025822261,0.8788302348791853
skipgram,2,5,1438.449888287663,0.7222976028946179,0.6991869918699187,0.7180994732256779,0.6942885675379775
svd,2,5,20.69138081114788,0.9278391167192428,0.900709219858156,0.9296333646801981,0.9307113159862743
cbow,2,6,0.1274274985703133,0.5621890547263682,0.5609756097560976,0.5052027795896068,0.5096209329947483
skipgram,2,6,0.0545559478116852,0.5902306648575305,0.5975609756097561,0.5309892109227137,0.5426003040518209
svd,2,6,8.858667904100823,0.7497048406139315,0.7773851590106007,0.7167665430976076,0.7055322354809221
cbow,2,7,1438.449888287663,0.6042514699231117,0.5894308943089431,0.5451308394894878,0.5359457806309333
skipgram,2,7,1438.449888287663,0.6056083220262325,0.5894308943089431,0.5463104721222347,0.5359457806309333
svd,2,7,263.6650898730355,0.6164114644680015,0.6091549295774648,0.5241217842094646,0.4996581659059118
cbow,2,8,0.2976351441631317,0.6042514699231117,0.5894308943089431,0.5454110842711282,0.5362571557528358
skipgram,2,8,0.2976351441631317,0.6047037539574853,0.5894308943089431,0.5458205841447631,0.5362571557528358
svd,2,8,3.79269019073225,0.6366483946750195,0.5950704225352113,0.5490809581877991,0.5047264482545816
cbow,2,9,0.2976351441631317,0.6042514699231117,0.5894308943089431,0.5454495494122025,0.5362284354550862
skipgram,2,9,0.2976351441631317,0.6042514699231117,0.5894308943089431,0.5454495494122025,0.5362284354550862
svd,2,9,1.623776739188721,0.6380320187426787,0.6035087719298246,0.5458323358426102,0.49234481214781833
cbow,2,10,0.2976351441631317,0.6047037539574853,0.5894308943089431,0.5459395105403186,0.5362284354550862
skipgram,2,10,0.2976351441631317,0.6042514699231117,0.5894308943089431,0.5455266374003652,0.5362284354550862
svd,2,10,20.69138081114788,0.6181597081475476,0.6545454545454545,0.540918620856729,0.5136277029215314
cbow,2,11,0.2976351441631317,0.6033469018543646,0.5894308943089431,0.5447359135465084,0.5362284354550862
skipgram,2,11,0.2976351441631317,0.6033469018543646,0.5894308943089431,0.5447359135465084,0.5362284354550862
svd,2,11,0.2976351441631317,0.6028079710144928,0.6178861788617886,0.5450844045331232,0.5587425830565678
cbow,2,12,0.6951927961775606,0.6033469018543646,0.5813008130081301,0.5445914337265167,0.5288428911849109
skipgram,2,12,0.6951927961775606,0.6033469018543646,0.5813008130081301,0.5445914337265167,0.5288428911849109
