emb_type,m,n,best_C,train_acc,test_acc,train_f,test_f
svd,2,13,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,2,13,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,2,13,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,2,14,46.41588833612773,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,2,14,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,2,14,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,2,15,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,2,15,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,2,15,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,2,16,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,2,16,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,2,16,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,2,17,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,2,17,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,2,17,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,2,18,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,2,18,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,2,18,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,2,19,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,2,19,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,2,19,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,2,20,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,2,20,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,2,20,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,3,2,1000.0,0.984589983489268,0.9702970297029704,0.9845952870827678,0.9702678404632917
skipgram,3,2,1000.0,0.9521188772702256,0.9306930693069309,0.9521330918219312,0.930863339871723
cbow,3,2,1000.0,0.9675288937809576,0.9356435643564356,0.9675379234645721,0.9358001724514314
svd,3,3,215.44346900318823,0.9889928453494772,0.9851485148514852,0.9889958510679125,0.9851474229108081
skipgram,3,3,1000.0,0.9367088607594936,0.9405940594059404,0.9367295684941052,0.9407343193738951
cbow,3,3,1000.0,0.9631260319207484,0.9306930693069309,0.9631380964270003,0.9308364347073006
svd,3,4,1000.0,0.9807374793615852,0.9851485148514852,0.9807458090497202,0.9851466938792753
skipgram,3,4,1000.0,0.6906989543203081,0.7227722772277227,0.6891526380588243,0.720688067202871
cbow,3,4,10.0,0.8959823885525592,0.8910891089108911,0.8959295862116554,0.8909702577400598
svd,3,5,10.0,0.7605943863511282,0.7128712871287128,0.7605328745097205,0.7128712871287128
skipgram,3,5,215.44346900318823,0.7352779306549257,0.7425742574257426,0.7346388108107361,0.74113339369919
cbow,3,5,46.41588833612773,0.7204182718767199,0.7376237623762376,0.7196595533583252,0.7353781910831698
svd,3,6,10.0,0.724821133736929,0.6782178217821783,0.7238328709219761,0.6759502372609488
skipgram,3,6,2.154434690031882,0.7352779306549257,0.7475247524752475,0.7348389859356759,0.7467392823057412
cbow,3,6,10.0,0.7369290038525041,0.7425742574257426,0.736556132359154,0.7419599372684607
svd,3,7,10.0,0.7380297193175565,0.693069306930693,0.7374393381286373,0.6929487646850103
skipgram,3,7,2.154434690031882,0.732526141992295,0.7475247524752475,0.7320420194906323,0.7467392823057412
cbow,3,7,2.154434690031882,0.732526141992295,0.7425742574257426,0.7320420194906323,0.7419599372684607
svd,3,8,46.41588833612773,0.7380297193175565,0.693069306930693,0.7374612040985972,0.6929789623389342
skipgram,3,8,10.0,0.7336268574573472,0.7425742574257426,0.7332241453794806,0.7419599372684607
cbow,3,8,10.0,0.7336268574573472,0.7425742574257426,0.7332241453794806,0.7419599372684607
svd,3,9,46.41588833612773,0.7336268574573472,0.7227722772277227,0.7330231614682868,0.7227179188507087
skipgram,3,9,215.44346900318823,0.7330764997248211,0.7425742574257426,0.7327105275074149,0.7419599372684607
cbow,3,9,215.44346900318823,0.7330764997248211,0.7425742574257426,0.7327105275074149,0.7419599372684607
svd,3,10,215.44346900318823,0.732526141992295,0.7425742574257426,0.7321470299718595,0.7419599372684607
skipgram,3,10,46.41588833612773,0.7319757842597688,0.7425742574257426,0.7315833165769694,0.7419599372684607
cbow,3,10,46.41588833612773,0.7319757842597688,0.7425742574257426,0.7315833165769694,0.7419599372684607
svd,3,11,10.0,0.7297743533296642,0.7425742574257426,0.7292990943799407,0.7419599372684607
skipgram,3,11,10.0,0.7303247110621904,0.7425742574257426,0.7298640697754107,0.7419599372684607
cbow,3,11,10.0,0.7303247110621904,0.7425742574257426,0.7298640697754107,0.7419599372684607
svd,3,12,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,3,12,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,3,12,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,3,13,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,3,13,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,3,13,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,3,14,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,3,14,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,3,14,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,3,15,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,3,15,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,3,15,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,3,16,215.44346900318823,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,3,16,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,3,16,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,3,17,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,3,17,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,3,17,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,3,18,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,3,18,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,3,18,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,3,19,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
skipgram,3,19,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
cbow,3,19,1000.0,0.7314254265272427,0.7425742574257426,0.7310193862503853,0.7419599372684607
svd,3,20,1000.0,0.7308750687947165,0.7425742574257426,0.7304809893349856,0.7419599372684607
skipgram,3,20,1000.0,0.7308750687947165,0.7425742574257426,0.7304809893349856,0.7419599372684607
