emb_type,m,n,best_C,train_acc,test_acc,train_f,test_f
SVD,7,3,0.2782559402207126,0.7460969597370584,0.7573529411764706,0.6522435879135595,0.6527811961604726
skipgram,7,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,7,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,7,4,46.41588833612782,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
skipgram,7,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,7,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,7,5,3.593813663804626,0.7460969597370584,0.7573529411764706,0.6495981694131512,0.6527811961604726
skipgram,7,5,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,7,5,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,7,6,46.41588833612782,0.7469186524239935,0.7573529411764706,0.6513977914300091,0.6527811961604726
skipgram,7,6,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,7,6,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,7,7,46.41588833612782,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
skipgram,7,7,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,7,7,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,7,8,46.41588833612782,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
skipgram,7,8,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,7,8,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,8,2,0.2782559402207126,0.7395234182415776,0.7573529411764706,0.6569926830752818,0.6772333660318641
skipgram,8,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,8,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,8,3,0.2782559402207126,0.7452752670501233,0.7573529411764706,0.6517710111122637,0.6527811961604726
skipgram,8,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,8,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,8,4,3.593813663804626,0.7469186524239935,0.7573529411764706,0.6513977914300091,0.6527811961604726
skipgram,8,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,8,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,8,5,46.41588833612782,0.7469186524239935,0.7573529411764706,0.6513977914300091,0.6527811961604726
skipgram,8,5,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,8,5,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,8,6,46.41588833612782,0.7469186524239935,0.7573529411764706,0.6513977914300091,0.6527811961604726
skipgram,8,6,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,8,6,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,8,7,46.41588833612782,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
skipgram,8,7,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,8,7,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,8,8,46.41588833612782,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
skipgram,8,8,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,8,8,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,9,2,0.2782559402207126,0.7403451109285127,0.75,0.6551228164032895,0.661723163841808
skipgram,9,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,9,2,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,9,3,0.2782559402207126,0.7477403451109285,0.7573529411764706,0.6531887992583437,0.6527811961604726
skipgram,9,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,9,3,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,9,4,3.593813663804626,0.7469186524239935,0.7573529411764706,0.6513977914300091,0.6527811961604726
skipgram,9,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
cbow,9,4,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
SVD,9,5,46.41588833612782,0.7469186524239935,0.7573529411764706,0.6513977914300091,0.6527811961604726
skipgram,9,5,1e-05,0.9028697571743928,0.8712871287128713,0.856783597875468,0.8113573262088114
