emb_type,m,n,k,RMSSTD-lit-gpt-p-val
skipgram,2,2,6,3.8723246038005046e-144
skipgram,2,2,8,1.718157965352686e-157
skipgram,2,2,10,1.2238253070445074e-159
skipgram,2,3,2,2.537439756026883e-195
skipgram,2,3,4,3.226634100090619e-269
skipgram,2,3,6,1.1278352367889638e-276
skipgram,2,3,8,5.48801247760151e-280
skipgram,2,3,10,2.7665355039425337e-281
skipgram,2,4,2,1.7193896134351107e-279
skipgram,2,4,4,5.082230211696218e-306
skipgram,2,4,6,1.1209164278506097e-303
skipgram,2,4,8,7.124911941074313e-306
skipgram,2,4,10,7.416538451585038e-301
skipgram,2,5,2,0.0
skipgram,2,5,4,0.0
skipgram,2,5,6,0.0
skipgram,2,5,8,0.0
skipgram,2,5,10,8.40082447911143e-306
skipgram,2,6,2,0.0
skipgram,2,6,4,0.0
skipgram,2,6,6,0.0
skipgram,2,6,8,8.1777077637794e-310
skipgram,2,6,10,4.0708599153889454e-307
skipgram,2,7,2,0.0
skipgram,2,7,4,0.0
skipgram,2,7,6,0.0
skipgram,2,7,8,7.82542447393014e-309
skipgram,2,7,10,1.4963566332818728e-306
skipgram,2,8,2,0.0
skipgram,2,8,4,0.0
skipgram,2,8,6,0.0
skipgram,2,8,8,1.505151174804556e-309
skipgram,2,8,10,8.42641014120134e-306
skipgram,2,9,2,0.0
skipgram,2,9,4,0.0
skipgram,2,9,6,0.0
skipgram,2,9,8,2.047092596902687e-309
skipgram,2,9,10,7.435810861786418e-305
skipgram,2,10,2,0.0
skipgram,2,10,4,0.0
skipgram,2,10,6,0.0
skipgram,2,10,8,4.206925980640264e-308
skipgram,2,10,10,5.1145627473902e-306
skipgram,3,2,2,0.0
skipgram,3,2,4,0.0
skipgram,3,2,6,0.0
skipgram,3,2,8,0.0
skipgram,3,2,10,0.0
skipgram,3,3,2,0.0
skipgram,3,3,4,0.0
skipgram,3,3,6,0.0
skipgram,3,3,8,0.0
skipgram,3,3,10,0.0
skipgram,3,4,2,0.0
skipgram,3,4,4,0.0
skipgram,3,4,6,0.0
skipgram,3,4,8,0.0
skipgram,3,4,10,0.0
skipgram,3,5,2,0.0
skipgram,3,5,4,0.0
skipgram,3,5,6,0.0
skipgram,3,5,8,0.0
skipgram,3,5,10,0.0
skipgram,3,6,2,0.0
skipgram,3,6,4,0.0
skipgram,3,6,6,0.0
skipgram,3,6,8,0.0
skipgram,3,6,10,0.0
skipgram,3,7,2,0.0
skipgram,3,7,4,0.0
skipgram,3,7,6,0.0
skipgram,3,7,8,0.0
skipgram,3,7,10,0.0
skipgram,3,8,2,0.0
skipgram,3,8,4,0.0
skipgram,3,8,6,0.0
skipgram,3,8,8,0.0
skipgram,3,8,10,0.0
skipgram,3,9,2,0.0
skipgram,3,9,4,0.0
skipgram,3,9,6,0.0
skipgram,3,9,8,0.0
skipgram,3,9,10,0.0
skipgram,3,10,2,0.0
skipgram,3,10,4,0.0
skipgram,3,10,6,0.0
skipgram,3,10,8,0.0
skipgram,3,10,10,0.0
skipgram,4,2,2,0.0
skipgram,4,2,4,0.0
skipgram,4,2,6,0.0
skipgram,4,2,8,0.0
skipgram,4,2,10,0.0
skipgram,4,3,2,0.0
skipgram,4,3,4,0.0
skipgram,4,3,6,0.0
skipgram,4,3,8,0.0
skipgram,4,3,10,0.0
skipgram,4,4,2,0.0
skipgram,4,4,4,0.0
skipgram,4,4,6,0.0
skipgram,4,4,8,0.0
skipgram,4,4,10,0.0
skipgram,4,5,2,0.0
skipgram,4,5,4,0.0
skipgram,4,5,6,0.0
skipgram,4,5,8,0.0
skipgram,4,5,10,0.0
skipgram,4,6,2,0.0
skipgram,4,6,4,0.0
skipgram,4,6,6,0.0
skipgram,4,6,8,0.0
skipgram,4,6,10,0.0
skipgram,4,7,2,0.0
skipgram,4,7,4,0.0
skipgram,4,7,6,0.0
skipgram,4,7,8,0.0
skipgram,4,7,10,0.0
skipgram,4,8,2,0.0
skipgram,4,8,4,0.0
skipgram,4,8,6,0.0
skipgram,4,8,8,0.0
skipgram,4,8,10,0.0
skipgram,4,9,2,0.0
skipgram,4,9,4,0.0
skipgram,4,9,6,0.0
skipgram,4,9,8,0.0
skipgram,4,9,10,0.0
skipgram,4,10,2,0.0
skipgram,4,10,4,0.0
skipgram,4,10,6,0.0
skipgram,4,10,8,0.0
skipgram,4,10,10,0.0
skipgram,5,2,2,0.0
skipgram,5,2,4,0.0
skipgram,5,2,6,0.0
skipgram,5,2,8,0.0
skipgram,5,2,10,0.0
