emb_type,m,n,k,RMSSTD-lit-gpt-p-val
skipgram,4,9,4,0.15852593721438846
skipgram,4,9,6,0.15294001230062665
skipgram,4,9,8,0.15118039014525161
skipgram,4,9,10,0.15118039014525161
skipgram,4,10,2,0.13565152506263328
skipgram,4,10,4,0.1479100641386939
skipgram,4,10,6,0.14182610719665434
skipgram,4,10,8,0.14084734437793117
skipgram,4,10,10,0.14084734437793117
skipgram,5,2,2,1.0097000376224347e-08
skipgram,5,2,4,3.8927884304091736e-08
skipgram,5,2,6,1.3634668526499113e-07
skipgram,5,2,8,1.593188253086302e-07
skipgram,5,2,10,1.6279201150681733e-07
skipgram,5,3,2,2.1126842182671906e-07
skipgram,5,3,4,9.937428785154696e-06
skipgram,5,3,6,6.846347542139858e-05
skipgram,5,3,8,0.00018598554530761756
skipgram,5,3,10,0.0001695835856510815
skipgram,5,4,2,1.506730979674904e-06
skipgram,5,4,4,6.541279153970534e-05
skipgram,5,4,6,0.0001052839655514661
skipgram,5,4,8,0.00021957821144077952
skipgram,5,4,10,0.0001695835856510815
skipgram,5,5,2,4.359322913760022e-06
skipgram,5,5,4,0.0001426408803110596
skipgram,5,5,6,0.00017811971369448927
skipgram,5,5,8,0.0001822750404714626
skipgram,5,5,10,0.00016119931852096394
skipgram,5,6,2,2.022569811086086e-05
skipgram,5,6,4,0.00018598554530761756
skipgram,5,6,6,0.0001509919718577441
skipgram,5,6,8,0.00013812391975539498
skipgram,5,6,10,0.00013731726862932286
skipgram,5,7,2,6.411727146983252e-05
skipgram,5,7,4,0.00015209531886778714
skipgram,5,7,6,0.00012481543295609103
skipgram,5,7,8,0.000122808924481064
skipgram,5,7,10,0.00012118989439538646
skipgram,5,8,2,7.895456278800763e-05
skipgram,5,8,4,0.00012353501944203024
skipgram,5,8,6,0.00011222260598377763
skipgram,5,8,8,0.00011057149896081503
skipgram,5,8,10,0.00010991749503022811
skipgram,5,9,2,6.237661181747789e-05
skipgram,5,9,4,0.0001166249973287405
skipgram,5,9,6,0.00010512752439806623
skipgram,5,9,8,0.0001028070730598643
skipgram,5,9,10,0.00010204439219717804
skipgram,5,10,2,9.288097120907844e-05
skipgram,5,10,4,0.00010403856303990846
skipgram,5,10,6,9.541653204884474e-05
skipgram,5,10,8,9.3299098054153e-05
skipgram,5,10,10,9.302014979021261e-05
skipgram,6,2,2,3.794015141916585e-11
skipgram,6,2,4,1.0067224229501979e-11
skipgram,6,2,6,7.41361371861927e-11
skipgram,6,2,8,1.3504938292906572e-10
skipgram,6,2,10,2.98726457318496e-10
skipgram,6,3,2,8.666782447856074e-11
skipgram,6,3,4,1.0920833248096316e-08
skipgram,6,3,6,2.412353255819204e-07
skipgram,6,3,8,8.600087617975186e-07
skipgram,6,3,10,1.0340278969459318e-06
skipgram,6,4,2,2.447913332716549e-10
skipgram,6,4,4,1.4294011910550498e-07
skipgram,6,4,6,5.196108159475981e-07
skipgram,6,4,8,7.595839706376744e-07
skipgram,6,4,10,5.69755514456051e-07
skipgram,6,5,2,5.864018702344232e-09
skipgram,6,5,4,2.8421261289733466e-07
skipgram,6,5,6,5.032296013262048e-07
skipgram,6,5,8,4.1807821304988947e-07
skipgram,6,5,10,3.9491749562876003e-07
skipgram,6,6,2,4.697547900130155e-08
skipgram,6,6,4,4.4760357714750895e-07
skipgram,6,6,6,3.889535129438319e-07
skipgram,6,6,8,3.3453984228134457e-07
skipgram,6,6,10,3.1105934129437913e-07
skipgram,6,7,2,1.2679210885926856e-07
skipgram,6,7,4,3.8453766025778104e-07
skipgram,6,7,6,2.787964543683778e-07
skipgram,6,7,8,2.616212594158553e-07
skipgram,6,7,10,2.571174021286825e-07
skipgram,6,8,2,2.0737287515470393e-07
skipgram,6,8,4,2.814919536968473e-07
skipgram,6,8,6,2.445229770537547e-07
skipgram,6,8,8,2.4405067638914767e-07
skipgram,6,8,10,2.421702714816821e-07
skipgram,6,9,2,1.467049121626448e-07
skipgram,6,9,4,2.4785389325087197e-07
skipgram,6,9,6,2.3524262996530343e-07
skipgram,6,9,8,2.325255251424186e-07
skipgram,6,9,10,2.3073099401322518e-07
skipgram,6,10,2,9.02695134725211e-08
skipgram,6,10,4,2.1981463679628947e-07
skipgram,6,10,6,2.0899157033611832e-07
skipgram,6,10,8,2.045692683756377e-07
skipgram,6,10,10,2.041717556934492e-07
skipgram,7,2,2,6.463481937307476e-14
skipgram,7,2,4,6.128672367788424e-14
skipgram,7,2,6,3.264484121114817e-13
skipgram,7,2,8,7.499882068759518e-13
skipgram,7,2,10,1.5640757142715291e-12
skipgram,7,3,2,5.071371441741587e-13
skipgram,7,3,4,2.1769959314604507e-10
skipgram,7,3,6,6.598425846319832e-09
skipgram,7,3,8,1.0047816536497293e-08
skipgram,7,3,10,7.525022346665374e-09
skipgram,7,4,2,1.1284662376397143e-12
skipgram,7,4,4,1.037026590082743e-09
skipgram,7,4,6,6.513523900445221e-09
skipgram,7,4,8,5.419056601765902e-09
skipgram,7,4,10,4.455488572591839e-09
skipgram,7,5,2,5.209812909889597e-11
skipgram,7,5,4,2.4177749479323458e-09
skipgram,7,5,6,4.798107002502668e-09
skipgram,7,5,8,4.3784009322231326e-09
skipgram,7,5,10,3.798376929183521e-09
skipgram,7,6,2,4.020123474257497e-10
skipgram,7,6,4,3.724209466815899e-09
skipgram,7,6,6,3.3518439180349824e-09
skipgram,7,6,8,3.1377978101640473e-09
skipgram,7,6,10,2.7307310234986643e-09
skipgram,7,7,2,5.163721116307855e-10
skipgram,7,7,4,3.873981368057705e-09
skipgram,7,7,6,2.7855647945235374e-09
skipgram,7,7,8,2.5050218845252514e-09
skipgram,7,7,10,2.4939505879738587e-09
skipgram,7,8,2,1.3316938693497695e-09
skipgram,7,8,4,2.7671687893245668e-09
skipgram,7,8,6,2.2975223328418137e-09
skipgram,7,8,8,2.2975223328418137e-09
